pathString;Warszawskie;Łódzkie;Kieleckie;Lubelskie;Białostockie;Wileńskie;Nowogródzkie;Poleskie;Poznańskie;Pomorskie;Śląskie;Krakowskie;Lwowskie;Stanisławowskie;Tarnopolskie;Wołyńskie
/5/m/;15068;10259;15890;11979;12182;11179;8399;8140;14893;11245;13638;11012;14021;8174;10591;14630
/5/k/;3111;1475;2333;1655;1275;375;571;581;3011;2108;3404;2913;3174;1413;1333;1322
/5/50/;27;4;7;12;3;4;11;;11;19;61;3;11;2;3;3
/5/51/;8360;5005;8621;5408;4281;1588;1975;2620;8424;6581;8485;4548;4714;3071;2916;3975
/5/51/512/;3059;1198;2184;1899;1626;493;777;1149;2376;2568;2975;1518;1724;1126;1074;1465
/5/51/513/;4541;3195;5105;3052;2302;1009;1049;1254;5203;3389;4501;2502;2514;1632;1591;2236
/5/51/514/;760;612;1332;457;353;86;149;215;845;624;1009;528;476;313;251;274
/5/52/;1547;1278;2141;1919;1303;317;585;714;2512;1875;1812;2371;3604;2107;2013;1450
/5/52/522/;883;724;1255;1157;794;182;342;411;1129;979;928;1180;1693;984;966;724
/5/52/523/;467;400;625;530;306;;136;146;1117;745;748;1177;1904;1119;1044;459
/5/52/524/;197;154;261;232;203;;107;157;266;151;136;14;7;4;3;267
/5/53/;2843;2511;3419;2376;5185;8454;5040;3787;2959;2562;3951;2122;2860;2040;4017;6028
/5/53/531/;130;395;449;329;;;;;220;144;133;83;127;;;
/5/53/532/;1824;1567;2394;1678;1618;976;1177;1200;1292;1138;2657;1230;2056;1433;1359;1758
/5/53/533/;466;204;133;6;;;;;1038;1049;933;441;254;396;;
/5/53/535/;239;277;325;220;;;;;328;176;135;228;250;73;;
/5/53/536/;184;68;118;143;;;;;81;55;93;140;173;94;;
/5/54/;4781;2596;3493;3508;2284;1108;1184;1433;3710;2077;2183;4685;5745;2236;2846;4076
/5/54/542/;2911;1433;1787;1885;1233;559;677;857;2678;1461;1628;3366;4210;1553;1986;1945
/5/54/543/;1870;1163;1706;1623;1051;549;507;576;1032;616;555;1319;1535;683;860;2131
/5/55/;621;340;542;411;401;83;175;167;288;239;550;196;261;131;129;420
/5/Rest/;;;;;;;;;;;;;;;;
/7/;12463;8823;13145;11555;7333;3266;3517;3542;9713;6193;9194;9256;11122;5567;5603;6895
/7/m/;6522;4589;6383;6085;3797;1492;1843;1832;5525;3626;4962;3926;5390;2734;3040;3754
/7/w/;5941;4234;6762;5470;3536;1774;1674;1710;4188;2567;4232;5330;5732;2833;2563;3141
/7/70/;9133;7033;10031;8799;5826;2910;2972;2913;7503;4640;6699;7698;8811;4150;4265;5008
/7/70/701/;33;;211;;;;;14;139;;242;;3748;135;;127
/7/70/702/;7038;5470;7299;6756;4176;2574;2314;2253;5791;3464;5004;5972;5063;3197;3418;3861
/7/70/703/;818;570;863;732;516;106;191;246;862;610;754;820;880;465;392;409
/7/70/704/;93;;4;;;;;;;;;;;2;;2
/7/70/705/;449;376;500;510;372;;198;187;;;;125;284;88;133;217
/7/70/706/;702;527;1154;662;652;163;255;213;692;447;677;613;599;263;232;392
/7/71/;1845;1017;1852;1755;951;254;375;426;991;640;877;893;1630;943;953;1350
/7/71/712/;1049;636;1158;1393;700;169;286;310;499;362;324;679;1339;823;852;1156
/7/71/713/;673;324;639;321;200;;;;438;229;484;;206;;;178
/7/71/714/;16;;;;;;;;;;;;15;;;
/7/71/715/;107;;;;;;;;;;;;70;;;
/7/72/;348;130;97;273;82;14;49;31;161;84;125;126;82;86;32;134
/7/72/722/;206;;;216;;;;;92;;;;;;;
/7/72/723/;142;;;57;;;;;69;;;;;;;
/7/73/;255;76;198;107;96;4;14;23;172;214;389;117;38;34;11;54
/7/73/731/;140;;;;;;;;;;175;;;;;
/7/73/732/;105;;128;;;;;;;129;196;;;;;
/7/73/733/;10;;;;;;;;;;18;;;;;
/7/74/;882;567;967;621;378;84;107;149;886;615;1104;422;561;354;342;349
/7/74/741/;70;;10;12;8;;;;16;12;85;;4;;;
/7/74/742/;199;;213;121;103;;;;406;292;490;;133;;;
/7/74/743/;187;182;292;170;144;;;;171;130;339;;134;;;125
/7/74/744/;426;262;452;318;123;;;;293;181;190;254;290;196;211;128
/7/Rest/;;;;;;;;;;;;;;;;
/8/;10598;6904;10038;6691;5386;1504;1974;2135;10723;6242;8768;7138;6325;3698;3117;4198
/8/m/;5315;3501;4660;3228;2669;;1031;1130;5596;3124;4220;3479;3366;2069;1712;2274
/8/k/;5283;3403;5378;3463;2717;;943;1005;5127;3118;4548;3659;2959;1629;1405;1924
/8/80/;4782;2671;4515;2921;2392;818;1061;1081;4786;2965;4772;3831;3218;1737;1544;1915
/8/80/801/;267;106;315;165;133;;;;374;161;180;495;419;;;56
/8/80/802/;2569;1365;2337;1294;1092;339;464;544;2798;1838;3288;1973;1157;764;551;834
/8/80/803/;621;418;665;467;394;145;203;154;552;302;432;369;507;255;265;315
/8/80/804/;420;251;373;330;324;;140;146;510;295;397;342;427;309;260;286
/8/80/805/;196;132;186;188;117;78;79;64;86;;;;;;;147
/8/80/806/;580;318;495;314;229;;;;363;274;331;527;544;242;291;162
/8/80/807/;129;81;144;163;103;83;;;103;;;;;;;115
/8/81/;4807;3915;2942;3350;2497;612;792;919;5454;2903;3598;3016;2723;1678;1404;2068
/8/81/811/;45;6;;3;4;;;;;;;9;11;;;1
/8/81/812/;123;107;166;148;75;;;;;;;86;146;;;76
/8/81/813/;2688;2082;2382;1487;1159;254;421;448;3208;1764;2333;1369;1364;979;729;934
